"","species","tax_level","growth_form","height","seed_mass","leaf_area","leaf_area_per_mass"
"41","Rubus idaeus","species","shrub","1.36363636363636","1.92276711111111","1250","21.2070937216572"
"42","Corydalis bracteata","species","herb",NA,NA,NA,NA
"43","Lonicera caerulea","species","shrub","1.17",NA,"410","8.99685559842555"
"44","Ribes aciculare","genus","shrub","1.41896090140845","2.46297481967213","2142.97799671905","21.4486059353506"
"45","Rosa majalis","species","shrub","1.362",NA,"350","12.9449909577587"
"46","Pyrus communis 1","species","tree","6.67870909090909","32.1818618181818",NA,"7.007047938"
"47","Tussilago farfara","species","herb","0.16375","0.346666666666667","48997.5","19.625"
"48","Betula pendula","species","tree","13.5256842105263","0.421202181818182","1069.48","15.1445311045607"
"49","Populus tremula","species","tree","2.73138593443038","0.11483625","337.459046513736","13.662270417109"
"50","Taraxacum officinale","species","herb","0.2625","0.65024356","3924.07029","22.427206362375"
"51","Caragana arborescens","species","shrub","3.5","26.4346438571429","1059.5","23.53"
"52","Larix sibirica","species","tree",NA,"9.965842",NA,NA
"53","Rhododendron ledebourii","genus","shrub","3.29539130434783","0.160716965517241","2337.94285714286","7.12518730865375"
"54","Spiraea chamaedryfolia","species","shrub","2",NA,NA,NA
"55","Ribes nigrum","species","shrub","1.35909090909091",NA,"3757.35","16.02877519496"
"56","Sorbus aucuparia","species","tree","8.70430268589744","15.6541576","730.290028571429","10.7430853767383"
"57","Alnus alnobetula","species","tree",NA,"1.723952","2140.344","23.33844"
"58","Malus pumila","species","tree","12","26.9362613333333",NA,"17.068"
"59","Prunus padus","species","tree","8.14285714285714","106.666274444444","2619.13286011667","20.8324271686957"
"60","Primula veris","species","herb","0.155555555555556","0.8496","4080.66666666667","19.1466666666667"
"61","Pulsatilla patens","species","herb","0.225",NA,NA,NA
"62","Erythronium sibiricum","genus","herb","0.25","5.23324444444444","6800","16.2207163427778"
"63","Bergenia crassifolia","species","herb",NA,NA,NA,NA
"64","Fragaria vesca","species","herb","0.167083333333333","0.33511444","2169.728","22.4567913021053"
"65","Pulmonaria mollis","species",NA,"0.25",NA,NA,NA
"66","Vaccinium myrtillus","species","shrub","0.31765625","0.354285714285714","99.705625","20.1347252857516"
"67","Salix caprea","species","tree","7.43835","0.144700875","2047.28333333333","12.5110544004675"
"68","Anemone altaica","genus","herb","0.186612903225806","2.42363891304348","2259.00166666667","72.4898374733333"
"69","Caltha palustris","species","herb","0.2625","1.1025","11383.0760675","40.0352288608696"
"70","Ribes petraeum","species",NA,"1.5",NA,NA,NA
"71","Paeonia anomala","species","herb",NA,NA,NA,NA
"72","Pulsatilla turczaninovii","species","herb",NA,NA,"1289.6906861","8.8420731936"
"73","Lilium pensylvanicum","genus","herb","0.791727272727273","4.22131668965517","1708.45010643333","22.2016964358333"
"74","Iris setosa","species","herb",NA,NA,NA,NA
"75","Betula fruticosa","species","shrub",NA,NA,NA,NA
"76","Vaccinium vitis idaea","species","shrub","0.143913043478261","0.292","59.8467647058824","7.74463585586401"
"77","Vaccinium uliginosum","species","shrub","0.344285714285714","0.1735","116.186875","13.921461170529"
"78","Taraxacum ceratophorum","species","herb",NA,NA,NA,NA
"79","Dasiphora fruticosa","species","herb",NA,NA,NA,NA
"80","Allium schoenoprasum","species","herb","0.33","0.838333333333333","556","8.79466666666667"
"81","Pinus sylvestris","species","tree","13.1851794619612","6.86829975","76.6444444444444","4.92704888008837"
"82","Rosa acicularis","species","shrub",NA,NA,NA,"18.9367118544444"
"83","Larix gmelinii","species","tree",NA,"3.434904",NA,"7.25"
"84","Ledum palustre","species","shrub","0.48",NA,"0",NA
"85","Epilobium angustifolium","species","herb","0.678545454545455","0.153363636363636","3811","19.9566979026753"
"86","Rubus chamaemorus","species","herb","0.1","7.4","2537.94333333333","13.9615352384065"
"87","Primula elatior","species","herb","0.108333333333333","0.85","4205.875","33.8050604384615"
"88","Anemone baicalensis","genus","herb","0.186612903225806","2.42363891304348","2259.00166666667","72.4898374733333"
"89","Trifolium lupinaster","species","herb",NA,"1.63333333333333","397.53469505","25.15755678"
"90","Androsace septentrionalis","species","herb","0.0121428571428571",NA,"27","24.082"
"91","Juniperus communis","species","shrub","5.36755","20.0336917333333","8.8","6.46143896916755"
"92","Elymus repens","species","grass","0.65500725","3.814084","2105.41493804","24.4979307182857"
"93","Spiraea media","species","shrub","1.6",NA,NA,NA
"94","Plantago major","species","herb","0.253048407411111","0.192904526315789","8045.099725","21.7863851375926"
"95","Rubus arcticus","species","herb",NA,NA,NA,NA
"96","Ranunculus propinquus","genus","herb","0.275885026737968","1.68167727131783","1991.49837309775","34.4412947979764"
"97","Maianthemum bifolium","species","herb","0.125","10.01875","1574.25","31.8369230766667"
"98","Dracocephalum ruyschiana","species","herb","0.4",NA,NA,"256.4201"
"99","Tanacetum vulgare","species","herb","0.6058","0.141111111111111","8376","20.38599947"
"100","Lilium martagon","species","herb","0.4818","7.93","4471","25.5756469566667"
"101","Vicia cracca","species","herb","0.994","14.9495877777778","733.5236540425","24.8359711266667"
"102","Viola uniflora","genus","herb","0.176635658914729","1.47513279824561","1185.88910714286","29.6743579173125"
"103","Campanula rotundifolia","species","herb","0.247489714285714","0.0559543333333333","72.3927794871795","26.5471190322581"
"104","Antennaria dioica","species","herb","0.0259655172413793","0.049","2652.66107918889","22.587166543"
"105","Euphrasia pectinata","species","herb",NA,NA,NA,NA
"106","Myosotis alpestris","species","herb","0.08375","1.20566666666667",NA,NA
"107","Thalictrum minus","species","herb","0.515625","1.59466666666667","8745.40075566667","15.8454664269231"
"108","Festuca ovina","species","grass","0.180625","0.491188461538462","25.897","15.1120689655172"
"109","Viola canina","species","herb","0.664","0.905","238","25.8668452663158"
"110","Achillea asiatica","species","herb",NA,NA,NA,NA
"111","Rumex acetosella","species","herb","0.1329141875","0.72092435","104.60045","26.433089602093"
"112","Omalotheca norvegica","species","herb","0.132142857142857",NA,"344.864827586207","21.148"
"113","Lathyrus pratensis","species","herb","0.548636363636364","11.3875","158.333333333333","35.7433705855263"
"114","Calamagrostis purpurea","species","grass","0.964","0.1","1578.2","24.224"
"115","Dactylorhiza incarnata","species","herb","0.43",NA,"2540.625","20.565"
"116","Trifolium repens","species","herb","0.131202595238095","0.524251348837209","321073.214144848","31.7824236215441"
"117","Galium boreale","species","herb","0.33125","0.6","49.005","20.9615479683333"
"118","Empetrum nigrum","species","shrub","0.246176470588235","0.980666666666667","4.51444444444444","8.26841699767142"
"119","Veratrum lobelianum","species","herb",NA,NA,NA,NA
"120","Sceptridium multifidum","genus","herb",NA,NA,NA,NA
"121","Poa pratensis","species","grass","0.345505428571429","0.284569027027027","1010.462675","27.1786523841732"
"122","Sanguisorba officinalis","species","herb","0.496875","2.163","1215.98945525714","20.0735685671429"
"123","Filipendula vulgaris","species","herb","0.0889705882352941","0.778545454545455","1322.91716418889","23.0661035194118"
"124","Spiraea hypericifolia","species","shrub",NA,NA,NA,"14.3"
"125","Trollius europaeus","species","herb","0.296875","0.973333333333333","5348.33333333333","22.591486396"
"126","Fritillaria ruthenica","genus","herb","0.36875","2.81309090909091","1145.625","23.7071428571429"
"127","Adonis vernalis","species","herb","0.225",NA,"279","15.471811175"
"128","Origanum vulgare","species","herb","0.409090909090909","0.109777777777778","511","22.935594005"
"129","Lonicera xylosteum","species","shrub","1.64847058823529","5.2","483.5","21.4305929619618"
"130","Tulipa sylvestris","species","herb","0.3",NA,NA,NA
"131","Abies sibirica","species","tree",NA,"10",NA,NA
"132","Viburnum opulus","species","shrub","2.91666666666667","35.310952","2048.4125","14.6311605956885"
"133","Alnus glutinosa","species","tree","11.6695759036145","1.84827819047619","3146.725","14.9289468413254"
"134","Rubus fruticosus","species","shrub","1.82875","2.295","2061.8","15.78375"
"135","Arctostaphylos uva ursi","species","shrub","0.179","14.6984111428571","161.666666666667","5.66382399041121"
"136","Tilia cordata","species","tree","16.6583333333333","36.1811462857143","1315","21.434453146932"
"137","Ulmus laevis","species","tree","23.1","7.150727","3831.5","38.7908413000353"
"138","Vaccinium oxycoccos","species","shrub","0.405","0.77","15.95","15.4190909090909"
"139","Quercus robur","species","tree","17.30856","3146.87815385714","2354.18","13.7566803291181"
"140","Frangula alnus","species","shrub","4.022","17.9342048571429","964.55","19.0498502272727"
"141","Corylus avellana","species","tree","4.14457575757576","1096.23131416667","3272.17142857143","19.4326653124865"
"142","Rubus caesius","species","shrub","0.47","3.35333333333333","9655.33333333333","19.3"
"143","Acer platanoides","species","tree","15.6747082251082","156.68577025","5748.38","15.3094840467304"
"144","Sambucus racemosa","species","shrub","2.99203088888889","2.10157575","9929","24.2611304874912"
"145","Cornus sericea","species","shrub*","3.4","36.2832",NA,"25.043"
"146","Aesculus hippocastanum","species","tree","23.8","13737.6212314286","6528.7","10.960002739726"
"147","Tilia platyphyllos","species","tree","30","81.9","6034.25","31.6294444444444"
"148","Amelanchier ovalis","species","shrub","2","42.5125","423.8","11.3183333333333"
"149","Physocarpus opulifolius","species","shrub","2.825","0.42553","2150","16.2601707300813"
"150","Quercus rubra","species","tree","19.2614824897242","3303.651682","12910.9848993289","15.2319312191465"
"151","Malus sylvestris","species","tree","6.26676666666667","25.41","2268.55714285714","16.1184025004271"
"152","Filipendula ulmaria","species","herb","0.858333333333333","0.576","10234.5","22.6656623494118"
"153","Aegopodium podagraria","species","herb","0.578125","2.3615","13500.242","27.8824242421053"
"154","Trientalis europaea","species","herb","0.104166666666667","0.6","221.861666666667","50.4940109622222"
"155","Oxycoccus palustris","genus","shrub",NA,NA,NA,NA
"156","Luzula pilosa","species","herb","0.1875","1.02333333333333","664","25.1"
"157","Calluna vulgaris","species","shrub","0.779285714285714","0.0356363636363636","0.98","11.2354173508484"
"158","Eriophorum vaginatum","species","herb","0.41875","0.985","215","9.79329245220262"
"159","Comarum palustre","species","herb","0.4","0.373285714285714","1944.25","19.0233333333333"
"160","Lathraea squamaria","species",NA,"0.146","0.68",NA,NA
"161","Pulmonaria obscura","species",NA,NA,NA,"6771.125","37.907"
"162","Corydalis solida","species","herb","0.129285714285714",NA,"1675.855","43.19"
"163","Polygonatum odoratum","species","herb","0.3","33.2","2270","31.3136610542857"
"164","Anemone ranunculoides","species","herb","0.125714285714286","1.5","1424.13","36.536"
"165","Euonymus verrucosa","genus","tree","5.56052195121951","26.7332556811594","1103.625","11.9097622955523"
"166","Lathyrus vernus","species","herb","0.265714285714286","14.326","4380","38.7359090909091"
"167","Stellaria holostea","species","herb","0.283333333333333","2.92","216","30.981700233"
"168","ficaria verna","not found","NA",NA,NA,NA,NA
"169","Gagea lutea","species","herb","0.2",NA,"631","23.9"
"170","Matteuccia struthiopteris","species","herb","0.9",NA,"116415.29","30.1096373215385"
"171","Allium ursinum","species","herb","0.31875","5.31833333333333","6656.66666666667","37.25"
"172","Chelidonium majus","species","herb","0.4875","0.753333333333333","9226","44.8854545454545"
"173","Lamium maculatum","species","herb","0.375",NA,"1371.44","31.62"
"174","Rubus nessensis","species",NA,"1.25",NA,NA,NA
"175","Hypericum perforatum","species","herb","0.472923076923077","0.1441903","129.0092","29.3162470751429"
"176","Veronica chamaedrys","species","herb","0.2471875","0.238562131578947","1444.23267413793","32.5695715330645"
"177","Ranunculus acris","species","herb","0.278068181818182","1.42876923076923","620.705161290323","22.0026951640426"
"178","Sedum acre","species","herb","0.0655555555555556","0.035",NA,"10.9"
"179","Artemisia absinthium","species","herb","0.84375","0.12","2475.5","30.3645919766667"
"180","Cichorium intybus","species","herb","0.40631","1.1295","10507.05","23.9388846058333"
"181","Oenothera biennis","species","herb","0.802777777777778","0.361472157894737","18538.4832","15.701"
"182","Plantago lanceolata","species","herb","0.2055435","1.5269752195122","1975.2666875","19.2313444539735"
"183","Achillea micrantha","genus","herb","0.295561903509211","0.436712872727273","3430.27439163333","15.554323591256"
"184","pilosella officinarum","not found","NA",NA,NA,NA,NA
"185","Verbascum lychnitis","species","herb","0.93125","0.13","18399.5","14.61"
"186","Prunella vulgaris","species","herb","0.157670307692308","0.963407676470588","673.2065","29.0513089351181"
"187","Leucanthemum vulgare","species","herb","0.34590625","0.495","549.90691255","17.9973690703125"
"188","Veronica officinalis","species","herb","0.138424571428571","0.106112113636364","350.283181578947","38.9405898148148"
"189","Chrysosplenium alternifolium","species","herb","0.185",NA,"516.5","37.1492753633333"
"190","Geum rivale","species","herb","0.33125","1.11461538461538","6428","20.283677364"
"191","Melampyrum pratense","species","herb","0.26","5.46285714285714","240","26.288065845"
"192","Lythrum salicaria","species","herb","0.6084","0.034","1742.375","24.204154135"
"193","Lysimachia vulgaris","species","herb","0.9143","0.14","2539.25","23.725"
"194","Veronica longifolia","species","herb","0.75","0.1","1357","19.8182352941176"
"195","Ranunculus repens","species","herb","0.253909090909091","2.3","3593.55555555556","23.6490374169643"
"196","Dianthus deltoides","species","herb","0.22875","0.169222222222222","24","16.05"
"197","Menyanthes trifoliata","species","herb","0.18375","2.50966666666667","4425.16666666667","22.8533333333333"
"198","Phleum pratense","species","grass","0.312243243243243","0.378785714285714","4295.61193897561","23.682393905122"
"199","Stellaria graminea","species","herb","0.2949","0.2715","76.3333333333333","32.70140609"
"200","Jasione montana","species","herb","0.15","0.0275","36.5","37.318"
"201","Helichrysum arenarium","species","herb","0.2",NA,"404.5","18.916"
"202","Silene latifolia","species","herb","0.45975","0.603888888888889","25295.2196153846","21.217893583"
"203","Campanula patula","species","herb","0.284375","0.025",NA,"32.712"
"204","Anthoxanthum odoratum","species","grass","0.2286494375","0.558760862068965","528.919762162162","34.1511530956164"
"205","Artemisia vulgaris","species","herb","1.35","0.1665","3914.42633333333","24.122352942"
"206","Agrostis canina","species","grass","0.3","0.0575","67","27.6652625722222"
"207","Solidago virgaurea","species","herb","0.5625","0.46","2938.53384615385","22.9011591682353"
"208","Viscaria vulgaris","family","herb","0.255658680161943","0.814968371571072","6880.17532851469","29.5361292961557"
"209","Bidens tripartita","species","herb","0.525","1.726","16952.6615280286","33.27347894625"
"210","Centaurea jacea","species","herb","0.315189985507246","1.866","3477.03262866197","19.6626348821591"
"211","Erythronium dens canis","species",NA,NA,"3.77",NA,NA
"212","Crocus heuffelianus","species",NA,NA,"5.664",NA,NA
"213","Anemone nemorosa","species","herb","0.170555555555556","3.89666666666667","3003","28.3736363636364"
"214","Syringa vulgaris","species","shrub","5.12","5.65409428571429","2166.875","12.4723538602941"
"215","Petasites albus","species","herb","0.425",NA,"23322.5833333333","26.7046666666667"
"216","Scopolia carniolica","family","tree","8.96598440748441","124.165051964912","5416.28737397309","11.6410946713725"
"217","Galanthus nivalis","species","herb","0.14","6.546","1403.5","28.61"
"218","Primula acaulis","genus","herb","0.112444444444444","0.560120689655172","3749.28125","24.6823227430769"
"219","Colchicum autumnale","species","herb","0.225","6.205","5411.05","21.632"
"220","Crataegus laevigata","species","tree","6","51.324","730","20.3416666666667"
"221","Narcissus poeticus","species","herb",NA,NA,"4582","19.2"
"222","Campanula carpatica","species","herb",NA,"0.06",NA,NA
"223","Rosa canina","species","shrub","1.64","15.5887229090909","257","12.3085283065587"
"224","Fagus sylvatica","species","tree","23.9347058823529","246.218081555556","2027.68","15.1312086914368"
"225","Scilla bifolia","species","herb","0.15","9.55","2376.75","41.554"
"226","Leucojum vernum","species","herb","0.1","12.04","3173.75","32.348"
"227","Sambucus nigra","species","shrub","5.44555555555556","12.94845575","990.2","19.1704586389512"
"228","Picea abies","species","tree","4.13277967857459","6.92506261538462",NA,"6.05424825118421"
"229","Hepatica nobilis","species","herb","0.0942857142857143","3.2746","2887.75","30.233"
"230","Poa nemoralis","species","herb","0.625","0.251764705882353","536.5","49.9"
"231","Acer tataricum","species",NA,NA,"34.4257282222222",NA,NA
"232","Glechoma hederacea","species","herb","0.2425","0.69","882","35.1604444414286"
"233","Asarum europaeum","species","herb","0.075","3.16","2994.75","26.778"
"234","Ranunculus auricomus","species","herb","0.19",NA,"1276.5","31.9333333333333"
"235","Viola hirta","species","herb","0.09375","3.344","3436","18.2333333333333"
"236","Euonymus europaea","genus","tree","5.56052195121951","26.7332556811594","1103.625","11.9097622955523"
"237","Prunus spinosa","species","shrub","2.308","199.474305176471","444.175","13.6342957207919"
"238","Rhamnus cathartica","species","shrub","5.44948571428571","29.1554784","1747.06","13.8588628183771"
"239","Urtica dioica","species","herb","0.480761904761905","0.1262775","4076.62828555556","22.1834656468364"
"240","Arrhenatherum elatius","species","herb","1.04941666666667","2.87263636363636","1397.9225","30.2525991922669"
"241","Thalictrum aquilegifolium","species","herb",NA,NA,NA,NA
"242","Polygonatum multiflorum","species","herb","0.43","26.34","2038.25","43.92"
"243","Actaea spicata","species","herb","0.421875","6.54875","21941.25","38.885"
"244","Clematis recta","species","shrub*","0.675","9.85",NA,NA
"245","Geranium sylvaticum","species","herb","0.241388888888889","5.095","1889.33884615385","22.8003943683333"
"246","Pulmonaria angustifolia","species",NA,"0.175",NA,NA,NA
"247","Cornus sanguinea","species","shrub","2.53970588235294","67.8816666666667","1240.3","14.7019489020308"
"248","Convallaria majalis","species","herb","0.15","17.675","6124.5","28.967008548"
"249","Crataegus rhipidophylla","species","tree","10","111.376666666667",NA,"11.36363636"
"250","Viola mirabilis","species","herb","0.2","2.6","4503.375","42.7840886933333"
"251","Anthriscus sylvestris","species","herb","0.833333333333333","3.83123076923077","22864","30.4975107352381"
"252","Carex montana","species","herb","0.165","0.99","288.75","20.3885714285714"
"253","Bromus riparius","species","herb",NA,NA,NA,NA
"254","Poa angustifolia","species","herb","0.36","0.11","400.4040302","15.55"
"255","Iris aphylla","species","herb","0.225",NA,NA,NA
"256","Anemone sylvestris","species","herb","0.149285714285714",NA,"2349.875","17.8716732283333"
"257","Knautia arvensis","species","herb","0.4069","3.050875","2871.33333333333","20.2207203968966"
"258","Picris hieracioides","species","NA","0.584861111108333","0.939333333333333","2314.23611116667","23.7842689103846"
"259","Scabiosa ochroleuca","species","herb","0.275",NA,"426","11.554"
"260","Stipa pennata","species","herb",NA,"31.535",NA,NA
"261","Peucedanum oreoselinum","species",NA,"0.5","4.22","4028.125","16.036"
"262","Inula hirta","species","herb","0.275","0.27",NA,"21.18644068"
"263","Linum perenne","species","herb","0.409090909090909","2.33875","24.45842036","22.5627468342857"
"264","Salvia pratensis","species","herb","0.333536882352941","1.74","9316.00663679245","24.0212370352632"
"265","Hyacinthella leucophaea","family","herb","2.59034899335342","28.2548007951807","597.935855800557","29.4521354787462"
"266","Draba sibirica","species","herb",NA,NA,NA,NA
"267","Securigera varia","species","herb","0.269","3.28166666666667",NA,"19.71426442"
"268","Asparagus officinalis","species","herb","1.05","23.4113581818182","22.6217","10.9271739090909"
"269","Phleum phleoides","species","herb","0.3","0.184166666666667","322.75","17.254"
"270","Tragopogon orientalis","species","herb","0.216875",NA,"1731.5","15.74517742"
"271","Leontodon hispidus","species","herb","0.0632303921558824","1.2038","4359.49954851818","24.2823352773333"
"272","Carex humilis","species","herb","0.09","1.315","121.75","18.15"
"273","Veratrum nigrum","species","herb",NA,NA,NA,NA
"274","Trifolium pratense","species","herb","0.317818181818182","1.61913793103448","896.076753","22.5840299382692"
"275","Briza media","species","herb","0.0912058823529412","0.328888888888889","5304.30710364516","21.4423303152"
"276","Stachys recta","species","herb","0.2432","1.084","740.5","25.8627448491667"
"277","libanotis pyrenaica","not found","NA",NA,NA,NA,NA
"278","Thymus pulegioides","species","shrub","0.166888888888889",NA,NA,"24.8085917768421"
"279","Pontechium maculatum","family","herb","0.288038888888889","7.03738915408805","590.35980433799","26.309877411881"
"280","Podospermum purpureum","species",NA,"0.35",NA,NA,NA
"281","Koeleria cristata","genus","herb","0.11025641025641","0.462687","220.12899792","16.5234715494143"
"282","Paeonia tenuifolia","genus","herb","1.075","197.273166666667",NA,"8.70397772"
"283","Vicia tenuifolia","species","herb","0.655",NA,"1904.60666666667","28.5709090909091"
"284","Anthyllis vulneraria","species","herb","0.1936","3.04793333333333","1007","16.6440607106667"
"285","Geranium sanguineum","species","herb","0.23125","8.69777777777778","1167","21.8333333333333"
"286","Trifolium montanum","species",NA,"0.114925925925926","0.825","8668.35065931818","19.994914242"
"287","Onobrychis arenaria","species","herb","0.15","16.4575",NA,"8.920606601"
"288","Campanula persicifolia","species","herb","0.4","0.1","501","31.6425"
"289","Calamagrostis epigeios","species","herb",NA,NA,NA,NA
"290","Trifolium alpestre","species",NA,"0.2406","1.25","705.875","12.9012252233333"
"291","Bunias orientalis","species","herb","0.757777777777778","25.4","8597.515","23.543264895"
"292","Anthericum ramosum","species","herb","0.289285714285714","2.51","1733.5","23.556"
"293","Potentilla alba","species",NA,"0.125","0.6","1563.075","14.633"
"294","Centaurea scabiosa","species","herb","0.396850838709677","5.9216875","4903.85903225806","19.6309122222222"
"295","Euphorbia semivillosa","genus","herb","0.915645333333333","7.07556647398844","538.563841611765","41.3747877733333"
"296","Falcaria vulgaris","species","herb","0.425","0.7","6503.125","12.585"
"297","Avenula pubescens","species","grass","0.498518518522222",NA,"855","20.2519424855556"
"298","Achillea millefolium","species","herb","0.121964990991892","0.186194810810811","3326.88430700323","15.1051027596197"
"299","Jurinea arachnoidea","genus","herb","0.35","3.7","1476.5","9.366"
"300","Alnus incana","species","tree","11.0716699450753","0.9606356","2442.20666666667","18.4922043509065"
"301","Gymnospermium albertii","family","shrub","1.45967741935484","18.5955933191489","4240.61713471111","11.7905726779107"
"302","Rosa webbiana","species","shrub",NA,NA,NA,NA
"303","Poa bulbosa","species","herb","0.2325","0.451871428571429","15.9981","18.0664797255714"
"304","Hypericum scabrum","genus","shrub","0.371330188679245","0.158153234234234","251.89980952381","26.0587973341078"
"305","Malus sieversii","genus","tree","7.46500186219739","31.35698064","2187.4875","16.3444386321"
"306","Linnaea borealis","species","herb","0.1135","1.2448652","78.43955","27.5167683325"
"307","Oxalis acetosella","species","herb","0.0925","1.47333333333333","806","67.7885714285714"
"308","Salix acutifolia","species","tree","7.9",NA,"480","11.7164674848975"
"309","Platanthera bifolia","species","herb","0.16",NA,"2532.75","26.2640023466667"
"310","Andromeda polifolia","species","shrub","0.239285714285714",NA,"46.9166666666667","7.38886329658561"
"311","Malus baccata","species",NA,NA,"77.6628706666667",NA,NA
"312","Chamaedaphne calyculata","species","shrub","0.6",NA,"385.5","4.98882282411741"
"313","Carpinus betulus","species","tree","10.5819047619048","43.0352868333333","2268.52","18.3502673"
"314","Symphytum officinale","species","herb","0.5047","11.13","8816.25","26.0168377542857"
"315","Lamium galeobdolon","genus","herb","0.242611755555556","1.19305228571429","1118.156775","34.6897168613793"
"316","Populus nigra","species","tree","18.3700394366197","55.5181004784689","2784.625","11.0753846153846"
"317","Corydalis cava","species","herb","0.157857142857143","8.5","5632.875","51.753"
"318","Salix alba","species","tree","15.5839675675676","0.12","691.0625","10.5715039680014"
"319","Gagea minima","species","herb","0.12",NA,NA,NA
"320","Acer negundo","species","tree","13.035474885902","32.4766038571429","2658.96","23.5535395946667"
"321","Galium verum","species","herb","0.244409836065574","0.509378378378378","1167.33322949475","34.1835095576023"
"322","Fraxinus excelsior","species","tree","19.955","64.4747434736842","1406.55714285714","12.4712907445062"
"323","Impatiens noli tangere","species","herb","0.44375",NA,"1649","45.38148148"
"324","Iris pseudacorus","species","aquatic*","0.75","51.335","20873.75","14.9235714285714"
"325","Populus alba","species","tree","19.4712","0.12","1791","11.3318697533333"
"326","Barbarea vulgaris","species","herb","0.558333333333333","0.644697875","14571.6765925926","26.448976"
"327","Cardamine quinquefolia","genus","herb","0.280426829268293","0.480888","2519.20898581579","32.8404168166262"
"328","Cirsium arvense","species","herb","0.780030272727273","1.24347022727273","3758.32333333333","15.3333392966667"
"329","Argentina anserina","genus","herb",NA,NA,NA,NA
"330","Capsella bursa pastoris","species","herb","0.167777777777778","0.1164122","1642.17175","29.5958283209091"
"331","Robinia pseudoacacia 1","species","tree","16.0907499420488","19.5873364","4186.948","16.4904824366166"
"332","Stellaria media","species","herb","0.204737769230769","0.400453086956522","427.863266666667","51.3528864717647"
"333","Vinca minor","species","herb*","0.505","6.13","565","24.7"
"334","Forsythia suspensa","species","shrub",NA,NA,NA,"18.254"
"335","Viola arvensis","species","herb","0.196875","0.351833333333333","546.5","24.32"
"336","Ajuga genevensis","species","herb","0.185",NA,"368.5","25.99"
"337","Spiraea vanhouttei","genus","shrub","1.52222222222222","0.0888","380.226882666875","15.7553569945238"
"338","Viola odorata","species","herb","0.205","3.192","1975.5","29.35"
"339","Eryngium planum","species","herb","0.3","0.9",NA,NA
"340","Crataegus monogyna","species","tree","6.40343177777778","163.821378947368","503.353322222222","10.8918091312607"
