"species","kingdom","phylum","class","order"
"Ginkgo biloba","Plantae",NA,"Ginkgoopsida","Ginkgoales"
"Alauda arvensis","Animalia","Chordata","Aves","Passeriformes"
"Cettia diphone","Animalia","Chordata","Aves","Passeriformes"
"Hirundo rustica","Animalia","Chordata","Aves","Passeriformes"
"Pieris rapae crucivora","Animalia","Arthropoda","Insecta","Lepidoptera"
"Papilio machaon hippocrates","Animalia","Arthropoda","Insecta","Lepidoptera"
"Rana nigromaculata","Animalia","Chordata","Amphibia","Anura"
"Orthetrum albistylum speciosum","Animalia","Arthropoda","Insecta","Odonata"
"Luciola sp.",NA,NA,NA,NA
"Graptopsaltria nigrofuscata","Animalia","Arthropoda","Insecta","Hemiptera"
"Tanna japonensis","Animalia","Arthropoda","Insecta","Hemiptera"
"Lanius bucephalus","Animalia","Chordata","Aves","Passeriformes"
"Hippeastrum hybridum",NA,NA,NA,NA
"Prunus armeniaca","Plantae",NA,"Magnoliopsida","Rosales"
"Prunus lannesiana","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Lilium lancifolium","Plantae",NA,"Magnoliopsida","Liliales"
"Diospyros kaki","Plantae",NA,"Magnoliopsida","Ericales"
"Larix leptolepis","Plantae","Streptophyta","Pinopsida",NA
"Platycodon grandiflorum","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Nerium oleander","Plantae",NA,"Magnoliopsida","Gentianales"
"Gardenia jasminoides","Plantae",NA,"Magnoliopsida","Gentianales"
"Gladiolus sp.",NA,NA,NA,NA
"Castanea crenata","Plantae",NA,"Magnoliopsida","Fagales"
"Morus bombycis","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Alpinia zerumbet","Plantae",NA,"Magnoliopsida","Zingiberales"
"Astragalus sinicus","Plantae",NA,"Magnoliopsida","Fabales"
"Cosmos bipinnatus","Plantae",NA,"Magnoliopsida","Asterales"
"Camellia sasanqua","Plantae",NA,"Magnoliopsida","Ericales"
"Salix babylonica","Plantae",NA,"Magnoliopsida","Malpighiales"
"Zoysia japonica","Plantae",NA,"Magnoliopsida","Poales"
"Paulownia tomentosa","Plantae",NA,"Magnoliopsida","Lamiales"
"Upupa epops","Animalia","Chordata","Aves","Bucerotiformes"
"Hirundo rustica","Animalia","Chordata","Aves","Passeriformes"
"Nucifraga caryocatactes","Animalia","Chordata","Aves","Passeriformes"
"Sturnus vulgaris","Animalia","Chordata","Aves","Passeriformes"
"Saxicola maurus","Animalia","Chordata","Aves","Passeriformes"
"Oenanthe oenanthe","Animalia","Chordata","Aves","Passeriformes"
"Anas platyrhynchos","Animalia","Chordata","Aves","Anseriformes"
"Vanellus vanellus","Animalia","Chordata","Aves","Charadriiformes"
"Phoenicurus phoenicurus","Animalia","Chordata","Aves","Passeriformes"
"Carpodacus erythrinus","Animalia","Chordata","Aves","Passeriformes"
"Anthus trivialis","Animalia","Chordata","Aves","Passeriformes"
"Anthus spinoletta","Animalia","Chordata","Aves","Passeriformes"
"Falco tinnunculus","Animalia","Chordata","Aves","Falconiformes"
"Phoenicurus erythronotus","Animalia","Chordata","Aves","Passeriformes"
"Fringilla coelebs","Animalia","Chordata","Aves","Passeriformes"
"Motacilla cinerea","Animalia","Chordata","Aves","Passeriformes"
"Milvus migrans","Animalia","Chordata","Aves","Accipitriformes"
"Buteo buteo","Animalia","Chordata","Aves","Accipitriformes"
"Actitis hypoleucos","Animalia","Chordata","Aves","Charadriiformes"
"Aglais urticae","Animalia","Arthropoda","Insecta","Lepidoptera"
"Acanthosoma spinicolle","Animalia","Arthropoda","Insecta","Hemiptera"
"Tettigonia cantans","Animalia","Arthropoda","Insecta","Orthoptera"
"Heracleum dissectum","Plantae","Streptophyta","Magnoliopsida","Apiales"
"Fragaria viridis","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Trollius asiaticus","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Rubus idaeus","Plantae",NA,"Magnoliopsida","Rosales"
"Corydalis bracteata","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Lonicera caerulea","Plantae",NA,"Magnoliopsida","Dipsacales"
"Ribes aciculare","Plantae","Streptophyta","Magnoliopsida","Saxifragales"
"Rosa majalis","Plantae",NA,"Magnoliopsida","Rosales"
"Pyrus communis","Plantae",NA,"Magnoliopsida","Rosales"
"Tussilago farfara","Plantae",NA,"Magnoliopsida","Asterales"
"Betula pendula","Plantae",NA,"Magnoliopsida","Fagales"
"Populus tremula","Plantae",NA,"Magnoliopsida","Malpighiales"
"Taraxacum officinale","Plantae",NA,"Magnoliopsida","Asterales"
"Caragana arborescens","Plantae",NA,"Magnoliopsida","Fabales"
"Larix sibirica","Plantae",NA,"Pinopsida","Pinales"
"Rhododendron ledebourii","Plantae",NA,"Magnoliopsida","Ericales"
"Spiraea chamaedryfolia","Plantae",NA,"Magnoliopsida","Rosales"
"Ribes nigrum","Plantae",NA,"Magnoliopsida","Saxifragales"
"Sorbus aucuparia","Plantae",NA,"Magnoliopsida","Rosales"
"Alnus alnobetula","Plantae","Streptophyta","Magnoliopsida","Fagales"
"Malus pumila","Plantae",NA,"Magnoliopsida","Rosales"
"Prunus padus","Plantae",NA,"Magnoliopsida","Rosales"
"Primula veris","Plantae",NA,"Magnoliopsida","Ericales"
"Pulsatilla patens","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Erythronium sibiricum","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Bergenia crassifolia","Plantae",NA,"Magnoliopsida","Saxifragales"
"Fragaria vesca","Plantae",NA,"Magnoliopsida","Rosales"
"Pulmonaria mollis","Plantae","Streptophyta","Magnoliopsida","Boraginales"
"Vaccinium myrtillus","Plantae",NA,"Magnoliopsida","Ericales"
"Salix caprea","Plantae",NA,"Magnoliopsida","Malpighiales"
"Anemone altaica","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Caltha palustris","Plantae",NA,"Magnoliopsida","Ranunculales"
"Ribes petraeum","Plantae",NA,"Magnoliopsida","Saxifragales"
"Paeonia anomala","Plantae","Streptophyta","Magnoliopsida","Saxifragales"
"Phylloscopus trochiloides","Animalia","Chordata","Aves","Passeriformes"
"Alauda arvensis","Animalia","Chordata","Aves","Passeriformes"
"Phylloscopus collybita","Animalia","Chordata","Aves","Passeriformes"
"Emberiza leucocephalos","Animalia","Chordata","Aves","Passeriformes"
"Jynx torquilla","Animalia","Chordata","Aves","Piciformes"
"Delichon urbicum","Animalia","Chordata","Aves","Passeriformes"
"Larus minutus","Animalia","Chordata","Aves","Charadriiformes"
"Cygnus cygnus","Animalia","Chordata","Aves","Anseriformes"
"Mergus merganser","Animalia","Chordata","Aves","Anseriformes"
"Bucephala clangula","Animalia","Chordata","Aves","Anseriformes"
"Motacilla alba","Animalia","Chordata","Aves","Passeriformes"
"Anas crecca","Animalia","Chordata","Aves","Anseriformes"
"Fringilla montifringilla","Animalia","Chordata","Aves","Passeriformes"
"Anser albifrons","Animalia","Chordata","Aves","Anseriformes"
"Cuculus canorus","Animalia","Chordata","Aves","Cuculiformes"
"Corvus corone","Animalia","Chordata","Aves","Passeriformes"
"Musca domestica","Animalia","Arthropoda","Insecta","Diptera"
"Hybomitra lundbecki",NA,NA,NA,NA
"Bombus sylvarum","Animalia","Arthropoda","Insecta","Hymenoptera"
"Culex pipiens","Animalia","Arthropoda","Insecta","Diptera"
"Pulsatilla turczaninovii","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Lilium pensylvanicum","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Iris setosa","Plantae",NA,"Magnoliopsida","Asparagales"
"Betula fruticosa","Plantae","Streptophyta","Magnoliopsida","Fagales"
"Ribes acidum",NA,NA,NA,NA
"Vaccinium vitis-idaea","Plantae",NA,"Magnoliopsida","Ericales"
"Vaccinium uliginosum","Plantae",NA,"Magnoliopsida","Ericales"
"Taraxacum ceratophorum","Plantae",NA,"Magnoliopsida","Asterales"
"Dasiphora fruticosa","Plantae",NA,"Magnoliopsida","Rosales"
"Allium schoenoprasum","Plantae",NA,"Magnoliopsida","Asparagales"
"Pinus sylvestris","Plantae",NA,"Pinopsida","Pinales"
"Rosa acicularis","Plantae",NA,"Magnoliopsida","Rosales"
"Rhododendron dahuricum",NA,NA,NA,NA
"Larix gmelinii","Plantae",NA,"Pinopsida","Pinales"
"Ledum palustre","Plantae","Streptophyta","Magnoliopsida","Ericales"
"Epilobium angustifolium","Plantae","Streptophyta","Magnoliopsida","Myrtales"
"Rubus chamaemorus","Plantae",NA,"Magnoliopsida","Rosales"
"Lymantria dispar","Animalia","Arthropoda","Insecta","Lepidoptera"
"Papilio machaon","Animalia","Arthropoda","Insecta","Lepidoptera"
"Primula elatior","Plantae",NA,"Magnoliopsida","Ericales"
"Anemone baicalensis","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Trifolium lupinaster","Plantae",NA,"Magnoliopsida","Fabales"
"Androsace septentrionalis","Plantae",NA,"Magnoliopsida","Ericales"
"Juniperus communis","Plantae",NA,"Pinopsida","Pinales"
"Elymus repens","Plantae",NA,"Magnoliopsida","Poales"
"Spiraea media","Plantae",NA,"Magnoliopsida","Rosales"
"Plantago major","Plantae",NA,"Magnoliopsida","Lamiales"
"Rubus arcticus","Plantae",NA,"Magnoliopsida","Rosales"
"Ranunculus propinquus","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Maianthemum bifolium","Plantae",NA,"Magnoliopsida","Asparagales"
"Dracocephalum ruyschiana","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Tanacetum vulgare","Plantae",NA,"Magnoliopsida","Asterales"
"Lilium martagon","Plantae",NA,"Magnoliopsida","Liliales"
"Vicia cracca","Plantae",NA,"Magnoliopsida","Fabales"
"Viola uniflora","Plantae","Streptophyta","Magnoliopsida","Malpighiales"
"Campanula rotundifolia","Plantae",NA,"Magnoliopsida","Asterales"
"Antennaria dioica","Plantae",NA,"Magnoliopsida","Asterales"
"Euphrasia pectinata","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Myosotis alpestris","Plantae","Streptophyta","Magnoliopsida","Boraginales"
"Thalictrum minus","Plantae",NA,"Magnoliopsida","Ranunculales"
"Festuca ovina","Plantae",NA,"Magnoliopsida","Poales"
"Viola canina","Plantae",NA,"Magnoliopsida","Malpighiales"
"Achillea asiatica","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Rumex acetosella","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Omalotheca norvegica","Plantae",NA,"Magnoliopsida","Asterales"
"Lathyrus pratensis","Plantae",NA,"Magnoliopsida","Fabales"
"Calamagrostis purpurea","Plantae","Streptophyta","Magnoliopsida","Poales"
"Dactylorhiza incarnata","Plantae",NA,"Magnoliopsida","Asparagales"
"Trifolium repens","Plantae",NA,"Magnoliopsida","Fabales"
"Galium boreale","Plantae",NA,"Magnoliopsida","Gentianales"
"Empetrum nigrum","Plantae",NA,"Magnoliopsida","Ericales"
"Veratrum lobelianum","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Sceptridium multifidum","Plantae","Streptophyta","Polypodiopsida","Ophioglossales"
"Poa pratensis","Plantae",NA,"Magnoliopsida","Poales"
"Sanguisorba officinalis","Plantae",NA,"Magnoliopsida","Rosales"
"Pyrrhula pyrrhula","Animalia","Chordata","Aves","Passeriformes"
"Anser anser","Animalia","Chordata","Aves","Anseriformes"
"Scolopax rusticola","Animalia","Chordata","Aves","Charadriiformes"
"Corvus frugilegus","Animalia","Chordata","Aves","Passeriformes"
"Ardea cinerea","Animalia","Chordata","Aves","Pelecaniformes"
"Columba palumbus","Animalia","Chordata","Aves","Columbiformes"
"Emberiza citrinella","Animalia","Chordata","Aves","Passeriformes"
"Gonepteryx rhamni","Animalia","Arthropoda","Insecta","Lepidoptera"
"Filipendula vulgaris","Plantae",NA,"Magnoliopsida","Rosales"
"Spiraea hypericifolia","Plantae",NA,"Magnoliopsida","Rosales"
"Trollius europaeus","Plantae",NA,"Magnoliopsida","Ranunculales"
"Fritillaria ruthenica","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Adonis vernalis","Plantae",NA,"Magnoliopsida","Ranunculales"
"Origanum vulgare","Plantae",NA,"Magnoliopsida","Lamiales"
"Lonicera xylosteum","Plantae",NA,"Magnoliopsida","Dipsacales"
"Tulipa sylvestris","Plantae",NA,"Magnoliopsida","Liliales"
"Abies sibirica","Plantae","Streptophyta","Pinopsida",NA
"Viburnum opulus","Plantae",NA,"Magnoliopsida","Dipsacales"
"Alnus glutinosa","Plantae",NA,"Magnoliopsida","Fagales"
"Rubus fruticosus","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Arctostaphylos uva-ursi","Plantae",NA,"Magnoliopsida","Ericales"
"Tilia cordata","Plantae",NA,"Magnoliopsida","Malvales"
"Ulmus laevis","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Vaccinium oxycoccos","Plantae",NA,"Magnoliopsida","Ericales"
"Quercus robur","Plantae",NA,"Magnoliopsida","Fagales"
"Frangula alnus","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Cytisus ruthenicus",NA,NA,NA,NA
"Corylus avellana","Plantae",NA,"Magnoliopsida","Fagales"
"Rubus caesius","Plantae",NA,"Magnoliopsida","Rosales"
"Acer platanoides","Plantae",NA,"Magnoliopsida","Sapindales"
"Sambucus racemosa","Plantae",NA,"Magnoliopsida","Dipsacales"
"Cornus sericea","Plantae",NA,"Magnoliopsida","Cornales"
"Aesculus hippocastanum","Plantae",NA,"Magnoliopsida","Sapindales"
"Tilia platyphyllos","Plantae",NA,"Magnoliopsida","Malvales"
"Amelanchier ovalis","Plantae",NA,"Magnoliopsida","Rosales"
"Physocarpus opulifolius","Plantae",NA,"Magnoliopsida","Rosales"
"Quercus rubra","Plantae",NA,"Magnoliopsida","Fagales"
"Emberiza schoeniclus","Animalia","Chordata","Aves","Passeriformes"
"Sylvia atricapilla","Animalia","Chordata","Aves","Passeriformes"
"Ciconia nigra","Animalia","Chordata","Aves","Ciconiiformes"
"Phoenicurus ochruros","Animalia","Chordata","Aves","Passeriformes"
"Turdus merula","Animalia","Chordata","Aves","Passeriformes"
"Setophaga striata","Animalia","Chordata","Aves","Passeriformes"
"Lullula arborea","Animalia","Chordata","Aves","Passeriformes"
"Phylloscopus sibilatrix","Animalia","Chordata","Aves","Passeriformes"
"Erithacus rubecula","Animalia","Chordata","Aves","Passeriformes"
"Gallinago gallinago","Animalia","Chordata","Aves","Charadriiformes"
"Alcedo atthis","Animalia","Chordata","Aves","Coraciiformes"
"Lanius collurio","Animalia","Chordata","Aves","Passeriformes"
"Ficedula hypoleuca","Animalia","Chordata","Aves","Passeriformes"
"Apus apus","Animalia","Chordata","Aves","Apodiformes"
"Ciconia ciconia","Animalia","Chordata","Aves","Ciconiiformes"
"Saxicola rubetra","Animalia","Chordata","Aves","Passeriformes"
"Turdus pilaris","Animalia","Chordata","Aves","Passeriformes"
"Turdus iliacus","Animalia","Chordata","Aves","Passeriformes"
"Grus grus","Animalia","Chordata","Aves","Gruiformes"
"Tringa ochropus","Animalia","Chordata","Aves","Charadriiformes"
"Turdus philomelos","Animalia","Chordata","Aves","Passeriformes"
"Ficedula albicollis","Animalia","Chordata","Aves","Passeriformes"
"Turdus viscivorus","Animalia","Chordata","Aves","Passeriformes"
"Chloris chloris","Animalia","Chordata","Aves","Passeriformes"
"Malus sylvestris","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Filipendula ulmaria","Plantae",NA,"Magnoliopsida","Rosales"
"Aegopodium podagraria","Plantae",NA,"Magnoliopsida","Apiales"
"Trientalis europaea","Plantae",NA,"Magnoliopsida","Ericales"
"Oxycoccus palustris","Plantae","Streptophyta","Magnoliopsida","Ericales"
"Luzula pilosa","Plantae",NA,"Magnoliopsida","Poales"
"Calluna vulgaris","Plantae",NA,"Magnoliopsida","Ericales"
"Eriophorum vaginatum","Plantae",NA,"Magnoliopsida","Poales"
"Comarum palustre","Plantae",NA,"Magnoliopsida","Rosales"
"Lathraea squamaria","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Pulmonaria obscura","Plantae","Streptophyta","Magnoliopsida","Boraginales"
"Corydalis solida","Plantae",NA,"Magnoliopsida","Ranunculales"
"Polygonatum odoratum","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Anemone ranunculoides","Plantae",NA,"Magnoliopsida","Ranunculales"
"Euonymus verrucosa","Plantae","Streptophyta","Magnoliopsida","Celastrales"
"Lathyrus vernus","Plantae",NA,"Magnoliopsida","Fabales"
"Stellaria holostea","Plantae",NA,"Magnoliopsida","Caryophyllales"
"ficaria verna","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Gagea lutea","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Matteuccia struthiopteris","Plantae",NA,"Polypodiopsida","Polypodiales"
"Allium ursinum","Plantae",NA,"Magnoliopsida","Asparagales"
"Chelidonium majus","Plantae",NA,"Magnoliopsida","Ranunculales"
"Lamium maculatum","Plantae",NA,"Magnoliopsida","Lamiales"
"Rubus nessensis","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Hypericum perforatum","Plantae",NA,"Magnoliopsida","Malpighiales"
"Veronica chamaedrys","Plantae",NA,"Magnoliopsida","Lamiales"
"Ranunculus acris","Plantae",NA,"Magnoliopsida","Ranunculales"
"Sedum acre","Plantae",NA,"Magnoliopsida","Saxifragales"
"Artemisia absinthium","Plantae",NA,"Magnoliopsida","Asterales"
"Cichorium intybus","Plantae",NA,"Magnoliopsida","Asterales"
"Oenothera biennis","Plantae",NA,"Magnoliopsida","Myrtales"
"Plantago lanceolata","Plantae",NA,"Magnoliopsida","Lamiales"
"Achillea micrantha","Plantae","Streptophyta","Magnoliopsida","Asterales"
"pilosella officinarum","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Verbascum lychnitis","Plantae",NA,"Magnoliopsida","Lamiales"
"Prunella vulgaris","Plantae",NA,"Magnoliopsida","Lamiales"
"Leucanthemum vulgare","Plantae",NA,"Magnoliopsida","Asterales"
"Veronica officinalis","Plantae",NA,"Magnoliopsida","Lamiales"
"Chrysosplenium alternifolium","Plantae","Streptophyta","Magnoliopsida","Saxifragales"
"Geum rivale","Plantae",NA,"Magnoliopsida","Rosales"
"Melampyrum pratense","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Lythrum salicaria","Plantae",NA,"Magnoliopsida","Myrtales"
"Lysimachia vulgaris","Plantae",NA,"Magnoliopsida","Ericales"
"Veronica longifolia","Plantae",NA,"Magnoliopsida","Lamiales"
"Ranunculus repens","Plantae",NA,"Magnoliopsida","Ranunculales"
"Dianthus deltoides","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Menyanthes trifoliata","Plantae",NA,"Magnoliopsida","Asterales"
"Phleum pratense","Plantae",NA,"Magnoliopsida","Poales"
"Stellaria graminea","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Jasione montana","Plantae",NA,"Magnoliopsida","Asterales"
"Helichrysum arenarium","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Silene latifolia","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Campanula patula","Plantae",NA,"Magnoliopsida","Asterales"
"Anthoxanthum odoratum","Plantae",NA,"Magnoliopsida","Poales"
"Artemisia vulgaris","Plantae",NA,"Magnoliopsida","Asterales"
"Agrostis canina","Plantae",NA,"Magnoliopsida","Poales"
"Solidago virgaurea","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Viscaria vulgaris","Plantae","Streptophyta","Magnoliopsida","Caryophyllales"
"Bidens tripartita","Plantae",NA,"Magnoliopsida","Asterales"
"Centaurea jacea","Plantae",NA,"Magnoliopsida","Asterales"
"Erythronium dens-canis","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Crocus heuffelianus","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Anemone nemorosa","Plantae",NA,"Magnoliopsida","Ranunculales"
"Syringa vulgaris","Plantae",NA,"Magnoliopsida","Lamiales"
"Petasites albus","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Scopolia carniolica","Plantae",NA,"Magnoliopsida","Solanales"
"Galanthus nivalis","Plantae",NA,"Magnoliopsida","Asparagales"
"Primula acaulis","Plantae","Streptophyta","Magnoliopsida","Ericales"
"Colchicum autumnale","Plantae",NA,"Magnoliopsida","Liliales"
"Crataegus laevigata","Plantae",NA,"Magnoliopsida","Rosales"
"Narcissus poeticus","Plantae",NA,"Magnoliopsida","Asparagales"
"Campanula carpatica","Plantae",NA,"Magnoliopsida","Asterales"
"Rosa canina","Plantae",NA,"Magnoliopsida","Rosales"
"Fagus sylvatica","Plantae",NA,"Magnoliopsida","Fagales"
"Scilla bifolia","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Leucojum vernum","Plantae",NA,"Magnoliopsida","Asparagales"
"Sambucus nigra","Plantae",NA,"Magnoliopsida","Dipsacales"
"Picea abies","Plantae",NA,"Pinopsida","Pinales"
"Hepatica nobilis","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Poa nemoralis","Plantae",NA,"Magnoliopsida","Poales"
"Acer tataricum","Plantae",NA,"Magnoliopsida","Sapindales"
"Glechoma hederacea","Plantae",NA,"Magnoliopsida","Lamiales"
"Malus sylvestris s.l.",NA,NA,NA,NA
"Asarum europaeum","Plantae","Streptophyta","Magnoliopsida","Piperales"
"Ranunculus auricomus","Plantae",NA,"Magnoliopsida","Ranunculales"
"Viola hirta","Plantae","Streptophyta","Magnoliopsida","Malpighiales"
"Pyrethrum corumbosum",NA,NA,NA,NA
"Euonymus europaea","Plantae","Streptophyta","Magnoliopsida","Celastrales"
"Prunus spinosa","Plantae",NA,"Magnoliopsida","Rosales"
"Rhamnus cathartica","Plantae",NA,"Magnoliopsida","Rosales"
"Urtica dioica","Plantae",NA,"Magnoliopsida","Rosales"
"Arrhenatherum elatius","Plantae",NA,"Magnoliopsida","Poales"
"Thalictrum aquilegifolium","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Polygonatum multiflorum","Plantae",NA,"Magnoliopsida","Asparagales"
"Actaea spicata","Plantae",NA,"Magnoliopsida","Ranunculales"
"Clematis recta","Plantae",NA,"Magnoliopsida","Ranunculales"
"Geranium sylvaticum","Plantae",NA,"Magnoliopsida","Geraniales"
"Pulmonaria angustifolia","Plantae","Streptophyta","Magnoliopsida","Boraginales"
"Cornus sanguinea","Plantae",NA,"Magnoliopsida","Cornales"
"Convallaria majalis","Plantae",NA,"Magnoliopsida","Asparagales"
"Crataegus rhipidophylla","Plantae",NA,"Magnoliopsida","Rosales"
"Viola mirabilis","Plantae",NA,"Magnoliopsida","Malpighiales"
"Anthriscus sylvestris","Plantae",NA,"Magnoliopsida","Apiales"
"Carex montana","Plantae","Streptophyta","Magnoliopsida","Poales"
"Bromus riparius","Plantae","Streptophyta","Magnoliopsida","Poales"
"Poa angustifolia","Plantae","Streptophyta","Magnoliopsida","Poales"
"Iris aphylla","Plantae",NA,"Magnoliopsida","Asparagales"
"Myosotis popovii",NA,NA,NA,NA
"Anemone sylvestris","Plantae",NA,"Magnoliopsida","Ranunculales"
"Knautia arvensis","Plantae",NA,"Magnoliopsida","Dipsacales"
"Picris hieracioides","Plantae",NA,"Magnoliopsida","Asterales"
"Ranunculus polyanthemos s.l.",NA,NA,NA,NA
"Delphinium cuneatum s.l.",NA,NA,NA,NA
"Scabiosa ochroleuca","Plantae",NA,"Magnoliopsida","Dipsacales"
"Stipa pennata","Plantae",NA,"Magnoliopsida","Poales"
"Peucedanum oreoselinum","Plantae","Streptophyta","Magnoliopsida","Apiales"
"Inula hirta","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Plantago lanceolata s.l.",NA,NA,NA,NA
"Linum perenne","Plantae",NA,"Magnoliopsida","Malpighiales"
"Valeriana rossica",NA,NA,NA,NA
"Salvia pratensis","Plantae",NA,"Magnoliopsida","Lamiales"
"Hyacinthella leucophaea","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Draba sibirica","Plantae",NA,"Magnoliopsida","Brassicales"
"Securigera varia","Plantae",NA,"Magnoliopsida","Fabales"
"Asparagus officinalis","Plantae",NA,"Magnoliopsida","Asparagales"
"Phleum phleoides","Plantae","Streptophyta","Magnoliopsida","Poales"
"Tragopogon orientalis","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Leontodon hispidus","Plantae",NA,"Magnoliopsida","Asterales"
"Carex humilis","Plantae","Streptophyta","Magnoliopsida","Poales"
"Galium verum s.l.",NA,NA,NA,NA
"Veratrum nigrum","Plantae",NA,"Magnoliopsida","Liliales"
"Trifolium pratense","Plantae",NA,"Magnoliopsida","Fabales"
"Briza media","Plantae",NA,"Magnoliopsida","Poales"
"Stachys recta","Plantae",NA,"Magnoliopsida","Lamiales"
"libanotis pyrenaica","Plantae","Streptophyta","Magnoliopsida","Apiales"
"Vincetoxicum hirundinaria s.l.",NA,NA,NA,NA
"Festuca valesiaca s.l.",NA,NA,NA,NA
"Plantago media s.l.",NA,NA,NA,NA
"Thymus pulegioides","Plantae",NA,"Magnoliopsida","Lamiales"
"Pontechium maculatum","Plantae","Streptophyta","Magnoliopsida","Boraginales"
"Podospermum purpureum","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Koeleria cristata","Plantae","Streptophyta","Magnoliopsida","Poales"
"Paeonia tenuifolia","Plantae","Streptophyta","Magnoliopsida","Saxifragales"
"Vicia tenuifolia","Plantae","Streptophyta","Magnoliopsida","Fabales"
"Trinia multicaulis",NA,NA,NA,NA
"Anthyllis vulneraria","Plantae",NA,"Magnoliopsida","Fabales"
"Geranium sanguineum","Plantae",NA,"Magnoliopsida","Geraniales"
"Trifolium montanum","Plantae",NA,"Magnoliopsida","Fabales"
"Onobrychis arenaria","Plantae",NA,"Magnoliopsida","Fabales"
