"species","timeseries","observations","datasets","tax_group","year_shift","temp_shift","pheno_position"
"Graptopsaltria_nigrofuscata",76,3686,"japan","insect",-0.0639875751220195,-1.56378081819188,63.4990734337659
"Tanna_japonensis",60,2507,"japan","insect",0.0124062338523346,-1.1817274814308,61.6952262241859
"Lanius_bucephalus",62,2581,"japan","bird",0.0794462318871451,0.886830581840452,130.556766179762
"Hippeastrum_hybridum",5,69,"japan","plant",-0.298977967724278,-1.0528203613316,-65.8827913688734
"Prunus_armeniaca",2,94,"japan","plant",-0.00924782787879061,-2.53427253555079,-47.8767613395816
"Lilium_lancifolium",2,80,"japan","plant",0.0962278959115081,-0.547496482812451,40.1574162561933
"Diospyros_kaki",26,1050,"japan","plant",-0.149122397138782,-2.25721637365291,-0.754430968712209
"Larix_leptolepis",12,550,"japan","plant",-0.0408968054901301,-2.04469690712588,-5.67732453154587
"Platycodon_grandiflorum",17,650,"japan","plant",-0.070653450876889,-0.324631484904557,39.9539182986273
"Nerium_oleander",1,42,"japan","plant",-0.264428944209075,-4.10284769741241,8.07173382173383
"Castanea_crenata",4,172,"japan","plant",-0.167287662365768,-0.971741312567251,2.75341316746751
"Morus_bombycis",35,1510,"japan","plant",-0.0575086223083989,-3.07373369974201,0.887039254466137
"Astragalus_sinicus",2,76,"japan","plant",-0.0367653041526254,-2.58936347005371,-47.6544512690176
"Cosmos_bipinnatus",2,80,"japan","plant",-0.28280760007056,1.78577744210914,104.607453128012
"Camellia_sasanqua",15,491,"japan","plant",0.000347966030161278,-0.0844300829004208,150.953215126495
"Salix_babylonica",15,580,"japan","plant",0.00876887426075013,-2.05217140602982,-12.0547245278965
"Zoysia_japonica",41,1782,"japan","plant",0.184831208916422,-1.43081106646017,-1.3131268446696
"Paulownia_tomentosa",9,295,"japan","plant",-0.313515278275597,-2.63481787560917,-23.3116797521493
"Prunus_lannesiana",1,49,"japan","plant",-0.134591836734694,-3.84595359288616,-30.9778781741704
"Gardenia_jasminoides",1,17,"japan","plant",-0.205341113105921,0.596505823627304,25.0679596089117
"Alpinia_zerumbet",4,40,"japan","plant",-2.22575757575748,-5.28774416488261,-55.7619219679601
"Spinus tristis",1,48,"manomet","bird",-0.13708399445101,-2.4217105947334,-11.6606886138264
"Setophaga ruticilla",1,48,"manomet","bird",0.0147592680475761,-0.65206295913528,12.3771322782093
"Icterus galbula",1,42,"manomet","bird",-0.0698083898464647,-0.812915344567893,9.55457686860916
"Mniotilta varia",1,49,"manomet","bird",0.108640249156521,-0.644650847702861,0.112308067940191
"Poecile atricapillus",1,49,"manomet","bird",0.0301921134263835,-0.23719079707119,-12.2058472336673
"Polioptila caerulea",1,15,"manomet","bird",0.323474153691567,-0.97481585115016,-9.95721778093811
"Molothrus ater",1,41,"manomet","bird",0.0276799314010327,-0.421382525044146,-13.1004584994624
"Cyanocitta cristata",1,49,"manomet","bird",-0.0485532786671762,-0.302384052146568,-11.2080426707857
"Setophaga striata",5,147,"manomet","bird",0.0159687496551717,-0.783616372701648,21.2359737041908
"Setophaga striata",5,147,"ussr","bird",0.0159687496551717,-0.783616372701648,21.2359737041908
"Certhia americana",1,18,"manomet","bird",-0.0839339631064775,-0.463010254208396,-13.3816421739968
"Toxostoma rufum",1,37,"manomet","bird",-0.300919514607123,-2.25478689205304,-5.87729069578816
"Setophaga caerulescens",1,47,"manomet","bird",0.0471689449605909,-0.0444821103816417,8.04279158313929
"Setophaga virens",1,15,"manomet","bird",0.426709166433439,1.84253338938895,7.12354168551043
"Cardellina canadensis",1,47,"manomet","bird",-0.00767471955477028,-1.00009987830371,15.6953672950031
"Quiscalus quiscula",1,49,"manomet","bird",0.0516609461359829,-0.556336268003574,-9.54302398005004
"Setophaga pensylvanica",1,19,"manomet","bird",-0.028445452064155,-1.6771975886054,10.0153118099057
"Sayornis phoebe",1,28,"manomet","bird",0.106504162263079,-0.937905951039864,-14.014230590991
"Contopus virens",1,21,"manomet","bird",-0.425833310246412,0.0788872327208115,15.5808434168519
"Dumetella carolinensis",1,48,"manomet","bird",-0.168591329440083,-0.915008822334333,-6.25855899855448
"Catharus guttatus",1,47,"manomet","bird",-0.0428599542144153,-0.463114197731157,-9.88930910441726
"Troglodytes aedon",1,33,"manomet","bird",-0.121030597503285,0.699293829103015,1.8166977994595
"Melospiza lincolnii",1,27,"manomet","bird",-0.174881382651512,-0.21354412957552,10.7586359642718
"Setophaga magnolia",1,48,"manomet","bird",-0.113216306163513,-0.551355067956735,9.3854814200707
"Geothlypis philadelphia",1,39,"manomet","bird",-0.048875011104639,-0.785934545368714,24.1026427841258
"Setophaga coronata coronata",1,38,"manomet","bird",0.0733074169576306,-0.823428391306885,-7.99492384995445
"Oreothlypis ruficapilla",1,15,"manomet","bird",-0.162282369708282,-0.958120201419629,4.74725516257688
"Cardinalis cardinalis",1,47,"manomet","bird",0.0320449775685242,-0.59895096698008,-12.0164956795638
"Setophaga americana",1,29,"manomet","bird",-0.018679496399691,-0.305680799709326,7.85736050078175
"Parkesia noveboracensis",1,48,"manomet","bird",-0.262578770379255,-1.9412834897272,2.16715247942354
"Seiurus aurocapilla",1,49,"manomet","bird",-0.0410975516754861,-0.347603903870907,4.68476163311412
"Setophaga discolor",1,15,"manomet","bird",-0.0886136998371186,-0.165844763031969,4.55123447896155
"Regulus calendula",1,42,"manomet","bird",-0.0443225086952768,-1.46655266780842,-10.7830075513092
"Agelaius phoeniceus",1,47,"manomet","bird",-0.0554712543616347,-0.462130557056065,-9.20021599023214
"Melospiza melodia",1,48,"manomet","bird",0.053712760612684,-0.216844742746994,-12.1117045253396
"Vireo (sp)",1,10,"manomet","bird",-0.342316246896742,1.26659657416691,-4.68844944397226
"Melospiza georgiana",1,48,"manomet","bird",-0.174159847213108,-1.60419955025221,-9.58777883208568
"Catharus ustulatus",1,48,"manomet","bird",-0.0242210774622772,0.431514226818049,14.5574763547631
"Empidonax alnorum/traillii",1,43,"manomet","bird",-0.149742100333162,-0.229610205925508,21.2264319716979
"Catharus fuscescens",1,38,"manomet","bird",-0.0733602885688358,-0.708045757056143,8.27669670299824
"Cardellina pusilla",1,46,"manomet","bird",-0.0228087846997628,-0.125463631341615,14.2874062289671
"Hylocichla mustelina",1,28,"manomet","bird",-0.151209742650568,0.91568740892631,7.46947519046263
"Zonotrichia albicollis",1,49,"manomet","bird",0.0629711017801863,-0.00469205461556177,-12.8504094353969
"Colaptes a. auratus",1,26,"manomet","bird",-0.00169567223040527,-0.528773923727376,-11.4466450750397
"Setophaga petechia",1,47,"manomet","bird",-0.0962774093317593,-0.440979989776179,7.73230892448996
"Empidonax virescens",1,10,"manomet","bird",-0.277122169998382,-0.68613290767846,21.2881259395977
"Thryothorus ludovicianus",1,30,"manomet","bird",0.30986007714458,-1.86490589802956,-15.1730487926343
"Picoides pubescens",1,34,"manomet","bird",-0.142482101033198,-3.21236295332496,-11.9293726343609
"Icterus spurius",1,20,"manomet","bird",0.0802094517213277,0.42314827310677,10.3517369427332
"Setophaga palmarum hypochrysea",1,26,"manomet","bird",-0.314157307610485,-1.93050192021592,-13.3192470726773
"Haemorhous mexicanus",1,18,"manomet","bird",-0.181819928549896,0.340832241890678,-14.5662591101219
"Archilochus colubris",1,14,"manomet","bird",-0.106100086182576,-0.768087890090275,9.64612925468528
"Pipilo erythrophthalmus",1,21,"manomet","bird",-0.358818217107617,-0.750823859640189,-9.77934591802889
"Empidonax alnorum",1,15,"manomet","bird",-0.512615413012781,-1.86335984096895,20.745086615618
"Taraxacum officinale",121,5034,"rmbl","plant",-0.279358217687481,-2.23555332400651,-11.3733576530738
"Taraxacum officinale",121,5034,"ussr","plant",-0.279358217687481,-2.23555332400651,-11.3733576530738
"Taraxacum officinale",121,5034,"pep","plant",-0.279358217687481,-2.23555332400651,-11.3733576530738
"Viola praemorsa",13,335,"rmbl","plant",-0.23997489204731,-2.79138478071871,-23.744969227846
"Delphinium nuttallianum",7,244,"rmbl","plant",-0.324197199080365,-3.13510545761771,-16.718504030698
"Boechera stricta",10,179,"rmbl","plant",0.0744368387976839,-2.3312725557655,-10.671261458657
"Androsace septentrionalis",20,434,"rmbl","plant",-0.212361182746916,-3.23058388530863,-24.1673352048325
"Androsace septentrionalis",20,434,"ussr","plant",-0.212361182746916,-3.23058388530863,-24.1673352048325
"Lathyrus leucanthus",13,353,"rmbl","plant",-0.19820029829601,-3.11064070074784,-5.53852643897714
"Eriogonum umbellatum",6,220,"rmbl","plant",-0.296520111456638,-3.98867458842636,3.37154902585657
"Eremogone congesta",6,197,"rmbl","plant",-0.215976413813797,-2.65018416501389,8.28806668881174
"Potentilla hippiana",6,141,"rmbl","plant",-0.0655820705276419,-1.17759053354653,8.54779585341124
"Heterotheca villosa",7,277,"rmbl","plant",-0.234406711477175,-2.32051814374112,21.0563406067133
"Erigeron speciosus",19,516,"rmbl","plant",-0.316137073013262,-2.17180762023296,23.0107035820377
"Polygonum douglasii",9,170,"rmbl","plant",-0.115189451900379,1.93919891775475,27.3939822956857
"Mahonia repens",3,69,"rmbl","plant",-0.406341648483461,-4.64550751824535,-22.3802256112367
"Eriogonum subalpinum",3,101,"rmbl","plant",-0.186882891715975,-3.73122633040093,8.36831928595163
"Vicia americana",14,278,"rmbl","plant",-0.195904996973915,-2.87179612913416,6.9044652450336
"Hydrophyllum capitatum",4,101,"rmbl","plant",-0.358555876898822,-3.46760108168786,-19.4867403263535
"Amelanchier alnifolia",3,87,"rmbl","plant",-0.256669690980759,-2.97394572913357,-7.62160347814981
"Potentilla pulcherrima",20,520,"rmbl","plant",-0.0705022005286435,-1.97438945907356,-0.675539052502403
"Mertensia fusiformis",16,343,"rmbl","plant",-0.261621389909165,-3.44532121657055,-29.1948981411508
"Senecio integerrimus",4,77,"rmbl","plant",-0.371643070217555,-3.48035909543975,-10.5978524782039
"Helianthella quinquenervis",8,140,"rmbl","plant",-0.228745252056562,-1.41277855552514,19.3457707361489
"Erigeron flagellaris",2,70,"rmbl","plant",-0.419640566319614,-3.8004780770062,1.34461727135034
"Amerosedum lanceolatum",2,50,"rmbl","plant",-0.247795341592623,-4.22722172920096,19.4189053516425
"Erysimum capitatum",4,64,"rmbl","plant",-0.0676684552025239,-4.06161238028748,1.09997852393117
"Galium septentrionale",5,126,"rmbl","plant",-0.195481956725714,-3.38827453337263,19.7298596868794
"Pentaphylloides floribunda",2,34,"rmbl","plant",0.0729562921038416,-0.13296022638613,2.19712332925593
"Dugaldia hoopesii",12,233,"rmbl","plant",-0.30563713638727,0.0354832393370157,12.7150601616291
"Anticlea elegans",1,35,"rmbl","plant",-0.124958372826051,-2.29573143900378,3.70386887912247
"Erigeron coulteri",3,48,"rmbl","plant",-0.39941744138489,-2.97215818042444,20.3364480356507
"Solidago multiradiata",5,121,"rmbl","plant",-0.193178874265424,-2.08047653194273,26.4596143254699
"Aconitum columbianum",4,102,"rmbl","plant",-0.186152969450503,-1.8485249796039,19.3784128836712
"Ligusticum porteri",10,282,"rmbl","plant",-0.210215404364666,-1.85166466572235,6.30646194392363
"Pseudocymopterus montanus",5,125,"rmbl","plant",-0.0244067310764789,-3.07931026782685,-18.0370102484528
"Aquilegia coerulea",1,32,"rmbl","plant",-0.247376272224198,-1.59570890911001,6.26834818364989
"Castilleja sulphurea",1,41,"rmbl","plant",-0.093335638103305,-0.166795816673105,11.0917147667004
"Erythronium grandiflorum",5,167,"rmbl","plant",-0.370118478879122,-3.34395542360245,-29.3688036347354
"Valeriana occidentalis",10,240,"rmbl","plant",-0.230797456400905,-3.10923467165542,-22.2321763522171
"Ranunculus inamoenus",14,350,"rmbl","plant",-0.181545669096279,-3.58505747730894,-26.4966168216674
"Draba aurea",12,327,"rmbl","plant",-0.167940816207633,-3.59381260104888,-14.760676502804
"Hydrophyllum fendleri",2,43,"rmbl","plant",-0.061031797192751,-2.79109314817616,-0.333305892694682
"Descurainia incana",5,63,"rmbl","plant",0.0995787585159801,1.41511156700301,11.2334811317433
"Mertensia ciliata",9,215,"rmbl","plant",-0.283856765377939,-2.84872065714343,-1.77798803896366
"Delphinium barbeyi",11,226,"rmbl","plant",0.0311090747922588,-0.631405506612725,14.7681231462637
"Pyrrocoma crocea",4,121,"rmbl","plant",-0.271934245602348,-3.06486666910773,25.1918187298614
"Ligularia bigelovii",7,135,"rmbl","plant",-0.106543520746497,-0.341676409794367,30.3923559356239
"Thalictrum fendleri",7,185,"rmbl","plant",-0.223439115274366,-2.71687611765848,-5.9200573956806
"Pneumonanthe parryi",2,48,"rmbl","plant",-0.0111648502762597,-1.46556562682996,41.9703080988864
"Geranium richardsonii",5,115,"rmbl","plant",-0.365675046052896,-1.53874646634093,5.4888178150766
"Cardamine cordifolia",2,40,"rmbl","plant",-0.133194326416926,-1.35601136694388,-11.6378957530726
"Heracleum sphondylium",6,98,"rmbl","plant",-0.180297597232347,-3.10801044605801,14.0705598848261
"Campanula rotundifolia",8,188,"rmbl","plant",-0.0176595396512664,-0.372653387442333,18.7793447882204
"Campanula rotundifolia",8,188,"ussr","plant",-0.0176595396512664,-0.372653387442333,18.7793447882204
"Lomatium dissectum",2,52,"rmbl","plant",-0.269137428906742,-2.80914766788536,-20.5459339300799
"Paxistima myrsinites",1,18,"rmbl","plant",-0.321076443856915,-2.01909588950152,-23.8417906984951
"Calochortus gunnisonii",2,23,"rmbl","plant",-0.248873645881015,-3.96016650294516,28.8375536239311
"Claytonia lanceolata",8,169,"rmbl","plant",-0.586924393224554,-3.35112587867923,-39.7696353681638
"Dodecatheon pulchellum",1,38,"rmbl","plant",-0.335955801121713,-3.54012264111689,-10.7598634986997
"Maianthemum stellatum",1,28,"rmbl","plant",-0.216915145244215,-2.70656499397476,-9.50288634098561
"Valeriana edulis",4,108,"rmbl","plant",-0.210052854860015,-2.59884328983446,-2.87380943461807
"Noccaea fendleri",5,96,"rmbl","plant",-0.372837159945411,-3.85721591914096,-26.6553780701364
"Tolmachevia integrifolia",1,23,"rmbl","plant",-0.106772594200932,-2.45762038084056,-6.81452346297638
"Cirsium sp",1,12,"rmbl","plant",-0.148593050099373,-2.08179230386882,23.7613703038703
"Symphyotrichum foliaceum",7,130,"rmbl","plant",-0.0977403887723265,-0.645358527027589,42.8498714879093
"Fragaria virginiana",3,75,"rmbl","plant",-0.137979492485803,-3.53705507529267,-19.6625065602172
"Adenolinum lewisii",8,224,"rmbl","plant",-0.240140331978759,-2.65069551809959,2.9781362556411
"Achillea millefolium",14,351,"rmbl","plant",0.0621165838342876,-0.347952630165434,23.9190259538331
"Achillea millefolium",14,351,"nectar","plant",0.0621165838342876,-0.347952630165434,23.9190259538331
"Achillea millefolium",14,351,"ussr","plant",0.0621165838342876,-0.347952630165434,23.9190259538331
"Lupinus bakeri",8,145,"rmbl","plant",-0.0739895928336332,-2.31108566575636,-5.64958435329765
"Collomia linearis",5,107,"rmbl","plant",0.121812173645772,-0.984461552374083,7.31618974366182
"Carex sp",7,114,"rmbl","plant",-0.317574032876422,-3.47881361446744,-15.4443295294774
"Oligosporus dracunculus",7,166,"rmbl","plant",-0.292577991785146,-1.24550427435206,29.8911026289821
"Seriphidium tridentata",2,33,"rmbl","plant",-0.395605658173902,0.258328108102798,50.2977709606175
"Agoseris glauca",3,40,"rmbl","plant",-0.47947673047458,-1.85515198063412,29.2845863222752
"Bromelica spectabilis",13,194,"rmbl","plant",-0.272772513642074,-2.07316861509717,3.90781073274336
"Heliomeris multiflora",3,55,"rmbl","plant",-0.0689652877524216,-1.06370736064203,39.5728527097591
"Poa pratensis",22,424,"rmbl","plant",-0.333331816757531,-1.46648283772535,7.63145376982786
"Poa pratensis",22,424,"nectar","plant",-0.333331816757531,-1.46648283772535,7.63145376982786
"Poa pratensis",22,424,"ussr","plant",-0.333331816757531,-1.46648283772535,7.63145376982786
"Carex geyeri",2,21,"rmbl","plant",-1.33329597930127,-3.61135910834583,-28.6345126963752
"Poa tracyi",1,23,"rmbl","plant",-0.115953741407314,-1.88731207025425,6.81941863344204
"Polygonum aviculare",4,77,"rmbl","plant",-0.196219421951247,0.395843748913512,32.1568024871149
"Polygonum aviculare",4,77,"nectar","plant",-0.196219421951247,0.395843748913512,32.1568024871149
"Bromopsis inermis",3,35,"rmbl","plant",-0.0364708536165481,-1.65037077208636,15.9236176844662
"Festuca thurberi",6,73,"rmbl","plant",-0.166670267112309,-0.123852427590696,16.2538158445674
"Achnatherum lettermanii",2,23,"rmbl","plant",-0.25667348892072,0.375019897704029,23.2052954522845
"Antennaria pulcherrima",1,13,"rmbl","plant",-0.414079903535499,-3.85707844805908,-11.1531117827817
"Bromopsis pumpelliana",1,14,"rmbl","plant",-0.0856425831390004,1.10385638288603,17.4095566477737
"Elymus trachycaulus",2,23,"rmbl","plant",-0.460366455005898,-2.39954684755362,16.3269137922092
"Trisetum spicatum",1,11,"rmbl","plant",-1.59064094309143,-4.40962214423836,15.2383388883657
"Lupinus argenteus",1,10,"rmbl","plant",-0.405846899300539,-1.2462092267637,13.4488329591586
"Osmorhiza occidentalis",1,11,"rmbl","plant",0.0514594790251291,-1.24399395462269,-1.64586534270461
"Limnorchis hyperborea",1,11,"rmbl","plant",0.019708632195658,-1.17255875891642,-10.2105846649235
"Stellaria longifolia",1,14,"rmbl","plant",-0.0519336965855361,-2.7925765533218,-1.66391849806263
"Oxypolis fendleri",1,13,"rmbl","plant",0.205408200553117,-0.451742394103922,-9.1418770722303
"Gentianopsis thermalis",1,13,"rmbl","plant",-0.0836561802345835,-0.817646139210959,34.2871913705002
"Swertia perennis",1,13,"rmbl","plant",0.156531110903204,0.517226311116826,21.4838897687823
"Acer campestre",1,38,"nectar","plant",-0.318467381273519,-2.17925760732767,-14.449598691202
"Aegopodium podagraria",7,216,"nectar","plant",-0.23683152827517,-1.14753902758937,10.4163884816769
"Aegopodium podagraria",7,216,"ussr","plant",-0.23683152827517,-1.14753902758937,10.4163884816769
"Aethusa cynapium",1,41,"nectar","plant",0.0729116779187116,-0.660172681961181,38.9939186387082
"Agrimonia eupatoria",1,35,"nectar","plant",-0.335812356979401,-1.26841060450819,36.1165667223319
"Ajuga reptans",1,41,"nectar","plant",0.103976082776017,-0.0877453223446356,-12.1524228247065
"Alopecurus myosuroides",1,38,"nectar","plant",-0.295075163498638,-1.46270274195666,-7.13380921751775
"Alopecurus pratensis",71,1719,"nectar","plant",-0.476060424367251,-1.66619387111451,15.3311712253079
"Alopecurus pratensis",71,1719,"pep","plant",-0.476060424367251,-1.66619387111451,15.3311712253079
"Anacamptis pyramidalis",1,37,"nectar","plant",0.0276449350698448,-1.41873952828972,31.1613543671195
"Anagallis arvensis",1,33,"nectar","plant",0.0283884327370034,-0.0926770608724528,12.5815017872669
"Anisantha sterilis",1,33,"nectar","plant",-0.0772606123642925,-0.131243164418505,-23.8427406369755
"Arctium lappa",1,25,"nectar","plant",-0.263518258426962,-1.84915271333468,70.1851381509033
"Arrhenatherum elatius",5,175,"nectar","plant",-0.344440403540622,-0.985683493644454,1.39888544419442
"Arrhenatherum elatius",5,175,"ussr","plant",-0.344440403540622,-0.985683493644454,1.39888544419442
"Artemisia vulgaris",1,40,"nectar","plant",-0.380076074714724,-1.57962802425699,56.7951381509033
"Atropa bella-donna",1,25,"nectar","plant",0.0540395656083525,-1.34041561209539,30.9451381509033
"Ballota nigra",1,40,"nectar","plant",-0.127198850607836,-2.82706525233044,37.7951381509033
"Barbarea vulgaris",1,39,"nectar","plant",0.00380168644333303,-1.36034392912976,-15.8497336439685
"Brachypodium pinnatum",1,23,"nectar","plant",0.120692386912778,-3.70152161811097,27.2494859769903
"Brachypodium sylvaticum",1,34,"nectar","plant",0.0662049429558995,-1.16042514323673,32.0627852097268
"Brassica rapa",1,33,"nectar","plant",0.20709913901386,-0.398252780077005,-22.6003163945513
"Briza media",3,133,"nectar","plant",-0.140061566026782,-0.725740426762931,2.76215109066723
"Briza media",3,133,"ussr","plant",-0.140061566026782,-0.725740426762931,2.76215109066723
"Buddleja davidii",1,33,"nectar","plant",0.703185237863535,0.838215648854954,18.7936229993881
"Calystegia sepium",1,27,"nectar","plant",0.0207149621212154,0.392285799418448,42.648841854607
"Calystegia silvatica",1,31,"nectar","plant",0.014737210263591,-3.56049283480488,35.7838478283226
"Campanula trachelium",1,41,"nectar","plant",-0.157836733705262,-0.633419349680884,42.262211321635
"Carduus acanthoides",1,38,"nectar","plant",-0.457756176589719,-1.84856900720174,14.971453940377
"Carex acutiformis",1,29,"nectar","plant",-0.109360722569765,-2.55353192161821,-30.1238273663381
"Carex caryophyllea",1,37,"nectar","plant",-0.034300991835909,-2.84147095179234,-26.1899969842318
"Carex disticha",1,28,"nectar","plant",-0.230293290478099,-4.26521403802826,7.58799529376043
"Carex hirta",1,36,"nectar","plant",-0.166471987886653,-1.13910961354727,2.72291592868106
"Carex panicea",1,26,"nectar","plant",-0.218284149680548,-2.36278311728092,-7.47793877217364
"Carex sylvatica",1,26,"nectar","plant",-0.0840866056052022,-0.280823530055781,-12.5164003106352
"Carpinus betulus",2,62,"nectar","plant",-0.384774510176536,-3.57504293174947,-17.760636474019
"Carpinus betulus",2,62,"ussr","plant",-0.384774510176536,-3.57504293174947,-17.760636474019
"Centaurea scabiosa",3,145,"nectar","plant",-0.204801347993539,-1.77219967506483,19.9926961781885
"Centaurea scabiosa",3,145,"ussr","plant",-0.204801347993539,-1.77219967506483,19.9926961781885
"Cephalanthera damasonium",1,32,"nectar","plant",-0.091400012273029,0.0294287919722086,12.6638881509033
"Cerastium fontanum",1,39,"nectar","plant",0.0151665467893388,-6.92011692798299,-38.1574259516608
"Cerastium tomentosum",1,20,"nectar","plant",-0.146012348036404,-1.14194062257913,-9.95486184909672
"Chaerophyllum temulentum",1,39,"nectar","plant",-0.0434917742429926,-1.85883171070932,3.32975353551868
"Chamaenerion angustifolium",1,40,"nectar","plant",-0.0248082449459674,-2.14434205498945,33.6451381509033
"Chelidonium majus",3,84,"nectar","plant",-0.809544593303585,-1.13538177636136,-6.37634446928332
"Chelidonium majus",3,84,"ussr","plant",-0.809544593303585,-1.13538177636136,-6.37634446928332
"Chenopodium album",1,38,"nectar","plant",0.0991334712881524,-1.86630322705788,47.2082960456401
"Chrysosplenium oppositifolium",1,40,"nectar","plant",-0.665626211144414,-3.95365857715531,-68.1298618490967
"Cicerbita macrophylla",1,27,"nectar","plant",-0.430045294413692,-0.793873076885928,49.5006937064588
"Circaea lutetiana",1,41,"nectar","plant",-0.088825393365152,-1.66995223292138,38.8475771752935
"Cirsium arvense",1,40,"nectar","plant",-0.021837616651704,-1.84961793376193,27.2951381509033
"Cirsium vulgare",1,33,"nectar","plant",-0.426313556325584,-1.74311926605504,40.1572593630245
"Conium maculatum",1,37,"nectar","plant",-0.209157861031061,-0.881434471642999,17.2964895022546
"Conopodium majus",1,35,"nectar","plant",-0.0359656482323052,-1.68474600419656,1.05942386518902
"Convolvulus arvensis",1,24,"nectar","plant",-0.159446802283047,-2.64950203206645,31.8201381509033
"Cornus sanguinea",3,110,"nectar","plant",-0.179269534237471,-0.956502413992592,16.9891966857199
"Cornus sanguinea",3,110,"ussr","plant",-0.179269534237471,-0.956502413992592,16.9891966857199
"Crepis biennis",1,23,"nectar","plant",0.0933205496963899,-0.350100501234002,20.3799207595989
